x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
5.5329450,1.9435662,-2.0876564,-2.0876564,-0.0888776,7.2696864,0.9
5.4344386,1.7702615,-2.1127976,-2.1127976,-0.1267539,7.2510452,0.9
5.3313746,1.5991024,-2.1441453,-2.1441453,-0.1576491,7.2336319,0.9
5.2228727,1.4310657,-2.1799816,-2.1799816,-0.1797568,7.2171337,0.9
5.1084192,1.2670233,-2.2186496,-2.2186496,-0.1949565,7.2009355,0.9
4.9878286,1.1076853,-2.2581761,-2.2581761,-0.1986829,7.1832457,0.9
4.8611271,0.9533483,-2.2976702,-2.2976702,-0.1971109,7.1002545,0.9
4.7284038,0.8041042,-2.3374723,-2.3374723,-0.1997709,7.0049344,0.9
4.5899855,0.6604034,-2.3773616,-2.3773616,-0.2003105,6.9063633,0.9
4.4459597,0.5223493,-2.4169096,-2.4169096,-0.1985157,6.8048262,0.9
4.2965710,0.3900824,-2.4556363,-2.4556363,-0.1940605,6.7002654,0.9
4.1421354,0.2636675,-2.4933195,-2.4933195,-0.1887303,6.5925954,0.9
3.9829328,0.1430742,-2.5299026,-2.5299026,-0.1829504,6.4816940,0.9
3.8192736,0.0282775,-2.5653969,-2.5653969,-0.1774356,6.3673591,0.9
3.6515402,-0.0807064,-2.5998669,-2.5998669,-0.1722743,6.2493446,0.9
3.4803975,-0.1836963,-2.6335993,-2.6335993,-0.1690282,6.1267488,0.9
3.3060920,-0.2807369,-2.6667692,-2.6667692,-0.1659033,5.9990237,0.9
3.1284760,-0.3720402,-2.7000379,-2.7000379,-0.1663839,5.8669690,0.9
2.9477889,-0.4574476,-2.7340695,-2.7340695,-0.1700701,5.7438166,0.9
2.7642371,-0.5366850,-2.7690589,-2.7690589,-0.1757574,5.6423575,0.9
2.5783281,-0.6093347,-2.8045575,-2.8045575,-0.1778052,5.5514057,0.9
2.3898756,-0.6753693,-2.8405169,-2.8405169,-0.1799317,5.4604405,0.9
2.1990834,-0.7346132,-2.8771578,-2.8771578,-0.1832690,5.3683553,0.9
2.0062361,-0.7868316,-2.9148238,-2.9148238,-0.1883845,5.2751802,0.9
1.8116463,-0.8317308,-2.9538238,-2.9538238,-0.1951975,5.1850449,0.9
1.6154195,-0.8690153,-2.9943579,-2.9943579,-0.2028201,5.0966092,0.9
1.4178313,-0.8983192,-3.0366456,-3.0366456,-0.2116138,5.0095868,0.9
1.2192365,-0.9192380,-3.0809601,-3.0809601,-0.2217591,4.9240270,0.9
1.0198872,-0.9313399,-3.1275885,-3.1275885,-0.2332995,4.8406341,0.9
0.8201165,-0.9341377,3.1063916,3.1063916,-0.2461784,4.7596631,0.9
0.6205035,-0.9271082,3.0543614,3.0543614,-0.2603869,4.6808939,0.9
0.4216267,-0.9097158,2.9992451,2.9992451,-0.2759535,4.6044757,0.9
0.2240037,-0.8813931,2.9407629,2.9407629,-0.2927664,4.5309454,0.9
0.0281698,-0.8415264,2.8787230,2.8787230,-0.3103533,4.4608925,0.9
-0.1647371,-0.7896158,2.8130767,2.8130767,-0.3284270,4.3936037,0.9
-0.3537105,-0.7252009,2.7437431,2.7437431,-0.3472072,4.3289584,0.9
-0.5376197,-0.6479111,2.6705491,2.6705491,-0.3668843,4.2669924,0.9
-0.7156599,-0.5572389,2.5934531,2.5934531,-0.3861779,4.2106741,0.9
-0.8862695,-0.4530735,2.5129566,2.5129566,-0.4024678,4.1594445,0.9
-1.0478684,-0.3355866,2.4292551,2.4292551,-0.4184284,4.1133338,2.0
-1.1990202,-0.2050517,2.3421357,2.3421357,-0.4355761,4.0728531,2.0
-1.3380957,-0.0620097,2.2520186,2.2520186,-0.4538979,4.0386177,2.0
-1.4636014,0.0928047,2.1606638,2.1606638,-0.4560447,4.0113920,2.0
-1.5747036,0.2587865,2.0668731,2.0668731,-0.4698639,3.9931657,2.0
-1.6698125,0.4345173,1.9710081,1.9710081,-0.4801603,3.9924086,2.0
-1.7476358,0.6184781,1.8736894,1.8736894,-0.4868362,3.9961502,2.0
-1.8072053,0.8090950,1.7747221,1.7747221,-0.4954064,4.0067817,1.6
-1.8476462,1.0046502,1.6740566,1.6740566,-0.5039890,4.0260237,1.6
-1.8682281,1.2032619,1.5721170,1.5721170,-0.5105423,4.0531810,2.0
-1.8684917,1.4028524,1.4694248,1.4694248,-0.5149398,4.0830142,2.0
-1.8483250,1.6011089,1.3658020,1.3658020,-0.5197808,4.1106109,2.0
-1.8075473,1.7972358,1.2612973,1.2612973,-0.5220007,4.1335100,2.0
-1.7464208,1.9883904,1.1583865,1.1583865,-0.5169728,4.1498299,2.0
-1.6668326,2.1703066,1.0656052,1.0656052,-0.4800786,4.1568320,2.0
-1.5697677,2.3458111,1.0550158,1.0550158,-0.2143378,4.1469182,2.0
-1.4723766,2.5175850,1.1307174,1.1307174,1.8000320,4.1203788,2.0
-1.3886188,2.6954612,1.0221411,1.0221411,-0.5262661,4.1662420,2.0
-1.2839204,2.8667451,0.9269829,0.9269829,-0.4758018,4.2631034,2.0
-1.1641476,3.0263383,0.8409605,0.8409605,-0.4272635,4.3648544,2.0
-1.0306293,3.1755838,0.7618497,0.7618497,-0.3933390,4.4596405,2.0
-0.8857518,3.3137938,0.6909430,0.6909430,-0.3536219,4.5494265,2.0
-0.7315195,3.4413320,0.6305732,0.6305732,-0.3021503,4.6431632,2.0
-0.5699229,3.5592964,0.5826433,0.5826433,-0.2405218,4.7506187,2.0
-0.4029014,3.6693557,0.5478922,0.5478922,-0.1745232,4.8770586,1.6
-0.2325702,3.7732933,0.5259412,0.5259412,-0.1094800,5.0269179,1.6
-0.0598547,3.8735508,0.5158103,0.5158103,-0.0504021,5.1941822,0.6
0.1139919,3.9721239,0.5167454,0.5167454,0.0047614,5.3744747,0.6
0.2877779,4.0708775,0.5283649,0.5283649,0.0580764,5.5461099,0.6
0.4603398,4.1716058,0.5504728,0.5504728,0.1107647,5.6908205,0.6
0.6304698,4.2760241,0.5830748,0.5830748,0.1631585,5.7936325,0.6
0.7972883,4.3860529,0.6265094,0.6265094,0.2190327,5.6505021,0.6
0.9593614,4.5033585,0.6793606,0.6793606,0.2641844,5.5153035,1.2
1.1150801,4.6291176,0.7407274,0.7407274,0.3056944,5.3864842,2.0
1.2628405,4.7642333,0.8103191,0.8103191,0.3457942,5.2594692,2.0
1.4009233,4.9093758,0.8878986,0.8878986,0.3851890,5.1300040,2.0
1.5273092,5.0647431,0.9707129,0.9707129,0.4123805,4.9943708,2.0
1.6393626,5.2285018,1.0613842,1.0613842,0.4602350,4.8523746,2.0
1.7369928,5.4032824,1.0528288,1.0528288,0.0959803,4.7417200,2.0
1.8346592,5.5746672,0.9289291,0.9289291,-0.8515484,4.7395391,2.0
1.9528476,5.7327893,0.9471093,0.9471093,0.1604371,4.7987305,2.0
2.0696008,5.8950615,1.0161007,1.0161007,0.3558827,4.8674987,2.0
2.1749209,6.0650465,1.0946869,1.0946869,0.3944546,4.9347012,2.0
2.2669105,6.2434330,1.1736711,1.1736711,0.3958102,4.9972206,2.0
2.3443494,6.4280713,1.2497894,1.2497894,0.3826122,5.0543240,2.0
2.4073983,6.6176879,1.3217760,1.3217760,0.3616694,5.1061539,2.0
2.4566018,6.8111750,1.3891184,1.3891184,0.3389723,5.1531573,2.0
2.4926636,7.0074793,1.4506014,1.4506014,0.3097501,5.1958537,1.6
2.5165942,7.2056179,1.5041075,1.5041075,0.2694044,5.2453766,1.6
2.5298945,7.4047605,1.5470923,1.5470923,0.2157690,5.3157787,0.6
2.5346259,7.6043266,1.5775474,1.5775474,0.1520028,5.4148666,0.6
2.5332777,7.8040238,1.5955364,1.5955364,0.0895131,5.5408170,0.6
2.5283349,8.0037723,1.6023357,1.6023357,0.0335407,5.6874935,0.6
2.5220304,8.2035990,1.5993448,1.5993448,-0.0156604,5.8129722,0.6
2.5163203,8.4035590,0.0000000,0.0000000,-0.0571774,5.7398961,0.9
