x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
-5.0322624,10.5892670,0.4158056,0.4158056,-0.0164797,6.2192520,3.0
-4.8493146,10.6700478,0.4138585,0.4138585,-0.0096408,6.3858951,2.5
-4.6662131,10.7504708,0.4127949,0.4127949,-0.0052101,6.5508405,2.0
-4.4830278,10.8306983,0.4121930,0.4121930,-0.0029062,6.7133306,2.0
-4.2997945,10.9108154,0.4117811,0.4117811,-0.0020229,6.8728232,1.5
-4.1165276,10.9908573,0.4114653,0.4114653,-0.0015736,7.0291712,1.5
-3.9332343,11.0708418,0.4112312,0.4112312,-0.0011658,7.1825569,1.0
-3.7499209,11.1507840,0.4110623,0.4110623,-0.0008367,7.3331470,1.0
-3.5665925,11.2306959,0.4109536,0.4109536,-0.0005418,7.4810917,1.0
-3.3832537,11.3105886,0.4108947,0.4108947,-0.0002883,7.6265267,1.0
-3.1999086,11.3904712,0.4108793,0.4108793,-0.0000727,7.7695746,3.0
-3.0165606,11.4703517,0.4108992,0.4108992,0.0001031,7.9103472,3.0
-2.8332127,11.5502365,0.4109442,0.4109442,0.0002470,8.0489452,3.0
-2.6498669,11.6301302,0.4109851,0.4109851,0.0002468,8.1854501,2.5
-2.4665230,11.7100320,0.4109653,0.4109653,-0.0000573,8.3198319,2.5
-2.2831763,11.7899307,0.4108319,0.4108319,-0.0006481,8.4482501,2.5
-2.0998179,11.8698054,0.4105487,0.4105487,-0.0013964,8.4999678,2.5
-1.9164359,11.9496286,0.4100980,0.4100980,-0.0022550,8.4999677,2.5
-1.7330171,12.0293695,0.4094785,0.4094785,-0.0031128,8.4999677,2.5
-1.5495484,12.1089970,0.4087103,0.4087103,-0.0038571,8.4999676,2.5
-1.3660182,12.1884837,0.4078224,0.4078224,-0.0044587,8.4999676,2.5
-1.1824175,12.2678074,0.4068464,0.4068464,-0.0049001,8.4999676,2.0
-0.9987392,12.3469520,0.4058150,0.4058150,-0.0051698,8.4999675,2.0
-0.8149803,12.4259067,0.4047969,0.4047969,-0.0051676,8.4999675,1.5
-0.6311525,12.5046694,0.4038690,0.4038690,-0.0045919,8.4999674,1.5
-0.4472568,12.5832593,0.4029628,0.4029628,-0.0045265,8.4999674,1.5
