x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
38.5627984,-78.5400702,-2.6019826,-2.6019826,-0.0895945,8.4999377,1.274991
38.3913747,-78.6427358,-2.6203121,-2.6203121,-0.0908132,8.4999321,1.274990
38.2182707,-78.7421431,-2.6396773,-2.6396773,-0.0973130,8.4999277,1.274989
38.0429941,-78.8383335,-2.6601014,-2.6601014,-0.1018420,8.4999232,1.274988
37.8654620,-78.9310954,-2.6822407,-2.6822407,-0.1108317,8.4999177,1.274988
37.6864792,-79.0196278,-2.7058028,-2.7058028,-0.1181275,8.4999122,1.274987
37.5053690,-79.1039613,-2.7304275,-2.7304275,-0.1233359,8.4999110,1.274987
37.3221051,-79.1838675,-2.7557363,-2.7557363,-0.1266402,8.4999193,1.274988
37.1368072,-79.2591391,-2.7814055,-2.7814055,-0.1283784,8.4999390,1.274991
36.9496112,-79.3296402,-2.8071816,-2.8071816,-0.1288887,8.4999644,1.274995
36.7606593,-79.3952936,-2.8328747,-2.8328747,-0.1284627,8.4999845,1.274998
36.5700935,-79.4560678,-2.8583438,-2.8583438,-0.1273504,8.4999821,1.274997
36.3780544,-79.5119656,-2.8834914,-2.8834914,-0.1257403,8.4999062,1.274986
36.1846808,-79.5630142,-2.9082411,-2.9082411,-0.1237524,8.4997265,1.274959
35.9901090,-79.6092603,-2.9325371,-2.9325371,-0.1214730,8.4994927,1.274924
35.7944731,-79.6507655,-2.9563345,-2.9563345,-0.1189778,8.4993791,1.274907
35.5979042,-79.6876039,-2.9795861,-2.9795861,-0.1162478,8.4997188,1.274958
35.4005296,-79.7198626,-3.0022415,-3.0022415,-0.1132597,8.4999438,1.274992
35.2024727,-79.7476421,-3.0242413,-3.0242413,-0.1099890,8.4999640,1.274995
35.0038511,-79.7710582,-3.0454993,-3.0454993,-0.1062882,8.4999656,1.274995
34.8047769,-79.7902470,-3.0658685,-3.0658685,-0.1018673,8.4999666,1.274995
34.6053549,-79.8053770,-3.0851144,-3.0851144,-0.0962871,8.4999672,1.274995
34.4056818,-79.8166662,-3.1028857,-3.1028857,-0.0889685,8.4999676,1.274995
34.2058434,-79.8244052,-3.1187302,-3.1187302,-0.0793971,8.4999679,1.274995
34.0059128,-79.8289769,-3.1322195,-3.1322195,-0.0675901,8.4999680,1.274995
33.8059439,-79.8308513,3.1400524,3.1400524,-0.0545353,8.4999681,1.274995
33.6059757,-79.8305433,3.1316176,3.1316176,-0.0419449,8.4999681,1.274995
