x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
-27.6695852,27.7861828,2.9479418,2.9479418,-0.0021748,8.4967099
-27.8658165,27.8246654,2.9473955,2.9473955,-0.0027203,8.4967089
-28.0620267,27.8632552,2.9467200,2.9467200,-0.0033615,8.4967080
-28.2582107,27.9019775,2.9458968,2.9458968,-0.0041046,8.4967070
-28.4543628,27.9408613,2.9449025,2.9449025,-0.0049543,8.4967062
-28.6504761,27.9799401,2.9437168,2.9437168,-0.0059134,8.4967055
-28.8465429,28.0192514,2.9423175,2.9423175,-0.0069826,8.4967049
-29.0425544,28.0588370,2.9406827,2.9406827,-0.0081595,8.4967045
-29.2385010,28.0987430,2.9387930,2.9387930,-0.0094383,8.4967044
-29.4343718,28.1390192,2.9366294,2.9366294,-0.0108090,8.4967046
-29.6301550,28.1797191,2.9341766,2.9341766,-0.0122566,8.4967052
-29.8258378,28.2208991,2.9314240,2.9314240,-0.0137606,8.4967062
-30.0214066,28.2626176,2.9283657,2.9283657,-0.0152939,8.4967075
-30.2168469,28.3049340,2.9250025,2.9250025,-0.0168224,8.4967093
-30.4121439,28.3479075,2.9213451,2.9213451,-0.0183043,8.4967113
-30.6072825,28.3915950,2.9174120,2.9174120,-0.0196884,8.4967135
-30.8022479,28.4360497,2.9132355,2.9132355,-0.0209181,8.4967155
-30.9970260,28.4813183,2.9088615,2.9088615,-0.0219141,8.4967170
-31.1916046,28.5274385,2.9043462,2.9043462,-0.0226388,8.4967174
-31.3859729,28.5744368,2.8997192,2.8997192,-0.0229927,8.4967167
-31.5801207,28.6223337,2.8949797,2.8949797,-0.0242046,8.4967147
-31.7740420,28.6711509,2.8905386,2.8905386,-0.0222485,8.4967118
-31.9677413,28.7208280,2.8865387,2.8865387,-0.0200592,8.4967070
-32.1612374,28.7712787,2.8830662,2.8830662,-0.0175353,8.4966990
-32.3545575,28.8224011,2.8803054,2.8803054,-0.0139724,8.4966877
-32.5477364,28.8740572,2.8784777,2.8784777,-0.0093152,8.4966744
-32.7408213,28.9260665,2.8778262,2.8778262,-0.0034282,8.4966630
-32.9338731,28.9782018,2.8786148,2.8786148,0.0037777,8.4966624
-33.1269669,29.0301851,2.8811135,2.8811135,0.0123528,8.4966908
-33.3201909,29.0816860,2.8855890,2.8855890,0.0222696,8.4967797
-33.5136442,29.1323218,2.8922790,2.8922790,0.0333815,8.4969672
-33.7074324,29.1816624,2.9013576,2.9013576,0.0453773,8.4972650
-33.9016607,29.2292417,2.9128998,2.9128998,0.0577510,8.4976102
-34.0964250,29.2745760,2.9268550,2.9268550,0.0698541,8.4978444
-34.2918025,29.3171879,2.9430356,2.9430356,0.0810043,8.4978241
-34.4878432,29.3566329,2.9611423,2.9611423,0.0906333,8.4974522
-34.6845655,29.3925219,2.9808141,2.9808141,0.0984534,8.4963994
-34.8819556,29.4245343,3.0016959,3.0016959,0.1044734,8.4932317
-35.0799713,29.4524182,3.0235019,3.0235019,0.1090766,8.4853516
-35.2785481,29.4759779,3.0460414,3.0460414,0.1127345,8.4729950
-35.4776057,29.4950562,3.0691590,3.0691590,0.1156251,8.4584330
-35.6770515,29.5095281,3.0927064,3.0927064,0.1177717,8.4422883
-35.8767829,29.5193000,3.1165598,3.1165598,0.1192932,8.4236561
-36.0766905,29.5243053,3.1406290,3.1406290,0.1203679,8.4013419
-36.2766602,29.5244980,-3.1183230,-3.1183230,0.1211811,8.3742078
-36.4765752,29.5198452,-3.0939355,-3.0939355,0.1219412,8.3415163
-36.6763162,29.5103189,-3.0693614,-3.0693614,0.1228633,8.3034951
-36.8757616,29.4958876,-3.0445401,-3.0445401,0.1241002,8.2615843
-37.0747860,29.4765109,-3.0194009,-3.0194009,0.1256901,8.2180526
-37.2732591,29.4521377,-2.9938894,-2.9938894,0.1275630,8.1754851
-37.4710447,29.4227098,-2.9679845,-2.9679845,0.1295514,8.1363394
-37.6680008,29.3881689,-2.9417113,-2.9417113,0.1314129,8.1022072
-37.8639808,29.3484660,-2.9151360,-2.9151360,0.1329378,8.0732689
-38.0588357,29.3035697,-2.8883404,-2.8883404,0.1340379,8.0487049
-38.2524170,29.2534691,-2.8614048,-2.8614048,0.1347303,8.0272985
-38.4445776,29.1981734,-2.8343935,-2.8343935,0.1351060,8.0078982
-38.6351737,29.1377083,-2.8073449,-2.8073449,0.1352738,7.9897963
-38.8240619,29.0721116,-2.7803002,-2.7803002,0.1352994,7.9726547
-39.0111159,29.0014278,-2.7532431,-2.7532431,0.1351076,7.9563191
-39.1962152,28.9256987,-2.7258942,-2.7258942,0.1366418,7.9407149
-39.3791837,28.8449322,-2.6980987,-2.6980987,0.1390138,7.9257926
-39.5598380,28.7591113,-2.6698910,-2.6698910,0.1410295,7.9115222
-39.7380054,28.6682266,-2.6412948,-2.6412948,0.1429764,7.8978980
-39.9135080,28.5722812,-2.6123576,-2.6123576,0.1446734,7.8849324
-40.0861682,28.4712940,-2.5831460,-2.5831460,0.1460380,7.8726524
-40.2558090,28.3653045,-2.5537606,-2.5537606,0.1469084,7.8610929
-40.4222574,28.2543799,-2.5243431,-2.5243431,0.1470937,7.8502879
-40.5853490,28.1386232,-2.4950839,-2.4950839,0.1463582,7.8402563
-40.7449369,28.0181806,-2.4662353,-2.4662353,0.1444120,7.8309911
-40.9009071,27.8932467,-2.4381005,-2.4381005,0.1409430,7.8224789
-41.0532018,27.7640588,-2.4109574,-2.4109574,0.1358123,7.8147377
-41.2022437,27.6305080,-2.3850427,-2.3850427,0.1295680,7.8079240
