x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
-28.1791125,21.3341011,0.6749304,0.6749304,-0.0620625,8.4999655
-28.0230124,21.4590297,0.6620178,0.6620178,-0.0645582,8.4999659
-27.8653064,21.5819368,0.6485365,0.6485365,-0.0674035,8.4999663
-27.7059527,21.7027106,0.6344213,0.6344213,-0.0705795,8.4999668
-27.5449059,21.8212263,0.6196035,0.6196035,-0.0740915,8.4999672
-27.3821172,21.9373452,0.6040403,0.6040403,-0.0778293,8.4999675
-27.2175387,22.0509183,0.5877339,0.5877339,-0.0815533,8.4999676
-27.0511286,22.1617938,0.5707122,0.5707122,-0.0851308,8.4999673
-26.8828546,22.2698213,0.5530266,0.5530266,-0.0884605,8.4999667
-26.7126962,22.3748562,0.5347433,0.5347433,-0.0914477,8.4999659
-26.5406461,22.4767626,0.5159433,0.5159433,-0.0940353,8.4999652
-26.3667111,22.5754164,0.4967142,0.4967142,-0.0961880,8.4999652
-26.1909120,22.6707072,0.4771432,0.4771432,-0.0978970,8.4999652
-26.0132825,22.7625390,0.4573196,0.4573196,-0.0991651,8.4999653
-25.8338683,22.8508314,0.4373326,0.4373326,-0.0999876,8.4999653
-25.6527263,22.9355200,0.4172751,0.4172751,-0.1003472,8.4999655
-25.4699230,23.0165582,0.3972450,0.3972450,-0.1002178,8.4999655
-25.2855343,23.0939184,0.3773496,0.3773496,-0.0995574,8.4999654
-25.0996442,23.1675946,0.3577066,0.3577066,-0.0983059,8.4999652
-24.9123441,23.2376049,0.3384479,0.3384479,-0.0963918,8.4999650
-24.7237319,23.3039948,0.3197153,0.3197153,-0.0937915,8.4999652
-24.5339136,23.3668386,0.3016730,0.3016730,-0.0903380,8.4999658
-24.3429950,23.4262468,0.2844929,0.2844929,-0.0860060,8.4999662
-24.1510836,23.4823665,0.2683009,0.2683009,-0.0810340,8.4999664
-23.9582838,23.5353729,0.2531800,0.2531800,-0.0756296,8.4999666
-23.7646997,23.5854593,0.2391478,0.2391478,-0.0701391,8.4999667
-23.5704329,23.6328242,0.2261627,0.2261627,-0.0648795,8.4999667
-23.3755683,23.6776624,0.2141319,0.2141319,-0.0600953,8.4999667
-23.1801795,23.7201528,0.2029367,0.2029367,-0.0559244,8.4999667
-22.9843281,23.7604530,0.1924463,0.1924463,-0.0524067,8.4999667
-22.7880655,23.7986963,0.1825391,0.1825391,-0.0495059,8.4999667
-22.5914344,23.8349932,0.1731065,0.1731065,-0.0471406,8.4999668
-22.3944701,23.8694337,0.1640634,0.1640634,-0.0452081,8.4999668
-22.1972027,23.9020916,0.1553444,0.1553444,-0.0435930,8.4999668
-21.9996581,23.9330283,0.1469112,0.1469112,-0.0421725,8.4999667
-21.8018595,23.9622980,0.1387489,0.1387489,-0.0408211,8.4999666
-21.6038283,23.9899523,0.1308688,0.1308688,-0.0394191,8.4999665
-21.4055850,24.0160453,0.1232997,0.1232997,-0.0378632,8.4999663
-21.2071494,24.0406371,0.1160881,0.1160881,-0.0360793,8.4999664
-21.0085411,24.0637973,0.1092820,0.1092820,-0.0340494,8.4999665
-20.8097791,24.0856053,0.1029236,0.1029236,-0.0318050,8.4999665
-20.6108819,24.1061491,0.0970452,0.0970452,-0.0294009,8.4999666
-20.4118669,24.1255234,0.0916657,0.0916657,-0.0269059,8.4999667
-20.2127499,24.1438269,0.0867871,0.0867871,-0.0243925,8.4999668
-20.0135455,24.1611588,0.0824008,0.0824008,-0.0219285,8.4999668
-19.8142666,24.1776168,0.0784845,0.0784845,-0.0195726,8.4999669
-19.6149242,24.1932943,0.0750070,0.0750070,-0.0173720,8.4999669
-19.4155282,24.2082785,0.0719309,0.0719309,-0.0153621,8.4999669
-19.2160867,24.2226493,0.0692135,0.0692135,-0.0135670,8.4999670
-19.0166067,24.2364781,0.0668089,0.0668089,-0.0120006,8.4999670
-18.8170938,24.2498272,0.0646698,0.0646698,-0.0106675,8.4999671
-18.6175527,24.2627495,0.0627520,0.0627520,-0.0095644,8.4999671
-18.4179872,24.2752891,0.0610104,0.0610104,-0.0086816,8.4999671
-18.2184003,24.2874811,0.0594046,0.0594046,-0.0080034,8.4999672
-18.0187941,24.2993526,0.0578988,0.0578988,-0.0075093,8.4999672
-17.8191705,24.3109235,0.0564597,0.0564597,-0.0071749,8.4999672
-17.6195306,24.3222071,0.0550621,0.0550621,-0.0069727,8.4999673
-17.4198781,24.3332115,0.0536852,0.0536852,-0.0068733,8.4999673
-17.2202107,24.3439410,0.0523154,0.0523154,-0.0068453,8.4999673
-17.0205285,24.3543970,0.0509437,0.0509437,-0.0068585,8.4999674
-16.8208319,24.3645791,0.0495671,0.0495671,-0.0068855,8.4999674
-16.6211211,24.3744863,0.0481871,0.0481871,-0.0069038,8.4999674
-16.4213967,24.3841179,0.0468102,0.0468102,-0.0068943,8.4999675
-16.2216590,24.3934745,0.0454444,0.0454444,-0.0068404,8.4999675
-16.0219086,24.4025583,0.0441003,0.0441003,-0.0067291,8.4999675
-15.8221460,24.4113736,0.0427932,0.0427932,-0.0065504,8.4999675
-15.6223719,24.4199278,0.0415353,0.0415353,-0.0063014,8.4999676
-15.4225872,24.4282307,0.0403401,0.0403401,-0.0059847,8.4999676
-15.2227927,24.4362948,0.0392184,0.0392184,-0.0056175,8.4999676
-15.0229892,24.4441348,0.0381809,0.0381809,-0.0051885,8.4999677
-14.8231777,24.4517675,0.0372335,0.0372335,-0.0047827,8.4999677
-14.6233589,24.4592109,0.0364139,0.0364139,-0.0040870,8.4999677
-14.4235348,24.4664905,0.0357028,0.0357028,-0.0034706,8.4999677
-14.2237054,24.4736280,0.0350377,0.0350377,-0.0033792,8.4999677
-14.0238714,24.4806326,0.0344468,0.0344468,-0.0029540,8.4999677
-13.8240334,24.4875191,0.0339379,0.0339379,-0.0025434,8.4999677
-13.6241919,24.4943039,0.0335050,0.0335050,-0.0021562,8.4999677
-13.4243475,24.5010022,0.0331457,0.0331457,-0.0017962,8.4999677
-13.2245006,24.5076287,0.0328510,0.0328510,-0.0014667,8.4999677
-13.0246519,24.5141963,0.0326168,0.0326168,-0.0011686,8.4999677
-12.8248015,24.5207171,0.0324352,0.0324352,-0.0009025,8.4999677
